task_id,task_number,task_type,graph_name,run_idx,raw_answer,parsed_answer,expected_metric_values,expected_top_3,predicted_metric_values,predicted_top_3,metric_accuracy,ranking_accuracy,overall_correct
graph_2_T4_mean_depth,4,T4_mean_depth,graph_2,1,"{""metric_values"": {""bath_room"": 2.125, ""bed_room_1"": 2.125, ""bed_room_2"": 2.125, ""dining_room"": 2.25, ""hall"": 1.25, ""hall_2"": 1.625, ""kitchen"": 2.5, ""living_room"": 1.875, ""stair"": 2.125}, ""top_3_lowest_mean_depth"": [""hall"", ""hall_2"", ""living_room""]}","{""metric_values"": {""bath_room"": 2.125, ""bed_room_1"": 2.125, ""bed_room_2"": 2.125, ""dining_room"": 2.25, ""hall"": 1.25, ""hall_2"": 1.625, ""kitchen"": 2.5, ""living_room"": 1.875, ""stair"": 2.125}, ""top_3_lowest_mean_depth"": [""hall"", ""hall_2"", ""living_room""]}","{""bath_room"": 2.125, ""bed_room_1"": 2.125, ""bed_room_2"": 2.125, ""dining_room"": 2.25, ""hall"": 1.25, ""hall_2"": 1.625, ""kitchen"": 2.5, ""living_room"": 1.875, ""stair"": 2.125}","[""hall"", ""hall_2"", ""living_room""]","{""bath_room"": 2.125, ""bed_room_1"": 2.125, ""bed_room_2"": 2.125, ""dining_room"": 2.25, ""hall"": 1.25, ""hall_2"": 1.625, ""kitchen"": 2.5, ""living_room"": 1.875, ""stair"": 2.125}","[""hall"", ""hall_2"", ""living_room""]",1.0,1.0,1
graph_2_T4_mean_depth,4,T4_mean_depth,graph_2,2,"{""metric_values"": {""bath_room"": 2.125, ""bed_room_1"": 2.125, ""bed_room_2"": 2.125, ""dining_room"": 2.25, ""hall"": 1.25, ""hall_2"": 1.625, ""kitchen"": 2.5, ""living_room"": 1.875, ""stair"": 2.125}, ""top_3_lowest_mean_depth"": [""hall"", ""hall_2"", ""living_room""]}","{""metric_values"": {""bath_room"": 2.125, ""bed_room_1"": 2.125, ""bed_room_2"": 2.125, ""dining_room"": 2.25, ""hall"": 1.25, ""hall_2"": 1.625, ""kitchen"": 2.5, ""living_room"": 1.875, ""stair"": 2.125}, ""top_3_lowest_mean_depth"": [""hall"", ""hall_2"", ""living_room""]}","{""bath_room"": 2.125, ""bed_room_1"": 2.125, ""bed_room_2"": 2.125, ""dining_room"": 2.25, ""hall"": 1.25, ""hall_2"": 1.625, ""kitchen"": 2.5, ""living_room"": 1.875, ""stair"": 2.125}","[""hall"", ""hall_2"", ""living_room""]","{""bath_room"": 2.125, ""bed_room_1"": 2.125, ""bed_room_2"": 2.125, ""dining_room"": 2.25, ""hall"": 1.25, ""hall_2"": 1.625, ""kitchen"": 2.5, ""living_room"": 1.875, ""stair"": 2.125}","[""hall"", ""hall_2"", ""living_room""]",1.0,1.0,1
graph_2_T4_mean_depth,4,T4_mean_depth,graph_2,3,"{""metric_values"": {""bath_room"": 2.125, ""bed_room_1"": 2.125, ""bed_room_2"": 2.125, ""dining_room"": 2.25, ""hall"": 1.25, ""hall_2"": 1.625, ""kitchen"": 2.5, ""living_room"": 1.875, ""stair"": 2.125}, ""top_3_lowest_mean_depth"": [""hall"", ""hall_2"", ""living_room""]}","{""metric_values"": {""bath_room"": 2.125, ""bed_room_1"": 2.125, ""bed_room_2"": 2.125, ""dining_room"": 2.25, ""hall"": 1.25, ""hall_2"": 1.625, ""kitchen"": 2.5, ""living_room"": 1.875, ""stair"": 2.125}, ""top_3_lowest_mean_depth"": [""hall"", ""hall_2"", ""living_room""]}","{""bath_room"": 2.125, ""bed_room_1"": 2.125, ""bed_room_2"": 2.125, ""dining_room"": 2.25, ""hall"": 1.25, ""hall_2"": 1.625, ""kitchen"": 2.5, ""living_room"": 1.875, ""stair"": 2.125}","[""hall"", ""hall_2"", ""living_room""]","{""bath_room"": 2.125, ""bed_room_1"": 2.125, ""bed_room_2"": 2.125, ""dining_room"": 2.25, ""hall"": 1.25, ""hall_2"": 1.625, ""kitchen"": 2.5, ""living_room"": 1.875, ""stair"": 2.125}","[""hall"", ""hall_2"", ""living_room""]",1.0,1.0,1
graph_2_T4_mean_depth,4,T4_mean_depth,graph_2,4,"{""metric_values"": {""bath_room"": 2.125, ""bed_room_1"": 2.125, ""bed_room_2"": 2.125, ""dining_room"": 2.25, ""hall"": 1.25, ""hall_2"": 1.625, ""kitchen"": 2.5, ""living_room"": 1.875, ""stair"": 2.125}, ""top_3_lowest_mean_depth"": [""hall"", ""hall_2"", ""living_room""]}","{""metric_values"": {""bath_room"": 2.125, ""bed_room_1"": 2.125, ""bed_room_2"": 2.125, ""dining_room"": 2.25, ""hall"": 1.25, ""hall_2"": 1.625, ""kitchen"": 2.5, ""living_room"": 1.875, ""stair"": 2.125}, ""top_3_lowest_mean_depth"": [""hall"", ""hall_2"", ""living_room""]}","{""bath_room"": 2.125, ""bed_room_1"": 2.125, ""bed_room_2"": 2.125, ""dining_room"": 2.25, ""hall"": 1.25, ""hall_2"": 1.625, ""kitchen"": 2.5, ""living_room"": 1.875, ""stair"": 2.125}","[""hall"", ""hall_2"", ""living_room""]","{""bath_room"": 2.125, ""bed_room_1"": 2.125, ""bed_room_2"": 2.125, ""dining_room"": 2.25, ""hall"": 1.25, ""hall_2"": 1.625, ""kitchen"": 2.5, ""living_room"": 1.875, ""stair"": 2.125}","[""hall"", ""hall_2"", ""living_room""]",1.0,1.0,1
graph_2_T4_mean_depth,4,T4_mean_depth,graph_2,5,"{""metric_values"": {""bath_room"": 2.125, ""bed_room_1"": 2.125, ""bed_room_2"": 2.125, ""dining_room"": 2.25, ""hall"": 1.25, ""hall_2"": 1.625, ""kitchen"": 2.5, ""living_room"": 1.875, ""stair"": 2.125}, ""top_3_lowest_mean_depth"": [""hall"", ""hall_2"", ""living_room""]}","{""metric_values"": {""bath_room"": 2.125, ""bed_room_1"": 2.125, ""bed_room_2"": 2.125, ""dining_room"": 2.25, ""hall"": 1.25, ""hall_2"": 1.625, ""kitchen"": 2.5, ""living_room"": 1.875, ""stair"": 2.125}, ""top_3_lowest_mean_depth"": [""hall"", ""hall_2"", ""living_room""]}","{""bath_room"": 2.125, ""bed_room_1"": 2.125, ""bed_room_2"": 2.125, ""dining_room"": 2.25, ""hall"": 1.25, ""hall_2"": 1.625, ""kitchen"": 2.5, ""living_room"": 1.875, ""stair"": 2.125}","[""hall"", ""hall_2"", ""living_room""]","{""bath_room"": 2.125, ""bed_room_1"": 2.125, ""bed_room_2"": 2.125, ""dining_room"": 2.25, ""hall"": 1.25, ""hall_2"": 1.625, ""kitchen"": 2.5, ""living_room"": 1.875, ""stair"": 2.125}","[""hall"", ""hall_2"", ""living_room""]",1.0,1.0,1
graph_2_T5_choice,5,T5_choice,graph_2,1,"{""metric_values"": {""bath_room"": 0.0, ""bed_room_1"": 0.0, ""bed_room_2"": 0.0, ""dining_room"": 1.0, ""hall"": 23.0, ""hall_2"": 9.5, ""kitchen"": 0.0, ""living_room"": 2.5, ""stair"": 0.0}, ""top_3_highest_choice"": [""hall"", ""hall_2"", ""living_room""]}","{""metric_values"": {""bath_room"": 0.0, ""bed_room_1"": 0.0, ""bed_room_2"": 0.0, ""dining_room"": 1.0, ""hall"": 23.0, ""hall_2"": 9.5, ""kitchen"": 0.0, ""living_room"": 2.5, ""stair"": 0.0}, ""top_3_highest_choice"": [""hall"", ""hall_2"", ""living_room""]}","{""bath_room"": 0.0, ""bed_room_1"": 0.0, ""bed_room_2"": 0.0, ""dining_room"": 1.0, ""hall"": 23.0, ""hall_2"": 9.5, ""kitchen"": 0.0, ""living_room"": 2.5, ""stair"": 0.0}","[""hall"", ""hall_2"", ""living_room""]","{""bath_room"": 0.0, ""bed_room_1"": 0.0, ""bed_room_2"": 0.0, ""dining_room"": 1.0, ""hall"": 23.0, ""hall_2"": 9.5, ""kitchen"": 0.0, ""living_room"": 2.5, ""stair"": 0.0}","[""hall"", ""hall_2"", ""living_room""]",1.0,1.0,1
graph_2_T5_choice,5,T5_choice,graph_2,2,"{""metric_values"": {""bath_room"": 0.0, ""bed_room_1"": 0.0, ""bed_room_2"": 0.0, ""dining_room"": 1.0, ""hall"": 23.0, ""hall_2"": 9.5, ""kitchen"": 0.0, ""living_room"": 2.5, ""stair"": 0.0}, ""top_3_highest_choice"": [""hall"", ""hall_2"", ""living_room""]}","{""metric_values"": {""bath_room"": 0.0, ""bed_room_1"": 0.0, ""bed_room_2"": 0.0, ""dining_room"": 1.0, ""hall"": 23.0, ""hall_2"": 9.5, ""kitchen"": 0.0, ""living_room"": 2.5, ""stair"": 0.0}, ""top_3_highest_choice"": [""hall"", ""hall_2"", ""living_room""]}","{""bath_room"": 0.0, ""bed_room_1"": 0.0, ""bed_room_2"": 0.0, ""dining_room"": 1.0, ""hall"": 23.0, ""hall_2"": 9.5, ""kitchen"": 0.0, ""living_room"": 2.5, ""stair"": 0.0}","[""hall"", ""hall_2"", ""living_room""]","{""bath_room"": 0.0, ""bed_room_1"": 0.0, ""bed_room_2"": 0.0, ""dining_room"": 1.0, ""hall"": 23.0, ""hall_2"": 9.5, ""kitchen"": 0.0, ""living_room"": 2.5, ""stair"": 0.0}","[""hall"", ""hall_2"", ""living_room""]",1.0,1.0,1
graph_2_T5_choice,5,T5_choice,graph_2,3,"{""metric_values"": {""bath_room"": 0.0, ""bed_room_1"": 0.0, ""bed_room_2"": 0.0, ""dining_room"": 1.0, ""hall"": 23.0, ""hall_2"": 9.5, ""kitchen"": 0.0, ""living_room"": 2.5, ""stair"": 0.0}, ""top_3_highest_choice"": [""hall"", ""hall_2"", ""living_room""]}","{""metric_values"": {""bath_room"": 0.0, ""bed_room_1"": 0.0, ""bed_room_2"": 0.0, ""dining_room"": 1.0, ""hall"": 23.0, ""hall_2"": 9.5, ""kitchen"": 0.0, ""living_room"": 2.5, ""stair"": 0.0}, ""top_3_highest_choice"": [""hall"", ""hall_2"", ""living_room""]}","{""bath_room"": 0.0, ""bed_room_1"": 0.0, ""bed_room_2"": 0.0, ""dining_room"": 1.0, ""hall"": 23.0, ""hall_2"": 9.5, ""kitchen"": 0.0, ""living_room"": 2.5, ""stair"": 0.0}","[""hall"", ""hall_2"", ""living_room""]","{""bath_room"": 0.0, ""bed_room_1"": 0.0, ""bed_room_2"": 0.0, ""dining_room"": 1.0, ""hall"": 23.0, ""hall_2"": 9.5, ""kitchen"": 0.0, ""living_room"": 2.5, ""stair"": 0.0}","[""hall"", ""hall_2"", ""living_room""]",1.0,1.0,1
graph_2_T5_choice,5,T5_choice,graph_2,4,"{""metric_values"": {""bath_room"": 0.0, ""bed_room_1"": 0.0, ""bed_room_2"": 0.0, ""dining_room"": 1.0, ""hall"": 23.0, ""hall_2"": 9.5, ""kitchen"": 0.0, ""living_room"": 2.5, ""stair"": 0.0}, ""top_3_highest_choice"": [""hall"", ""hall_2"", ""living_room""]}","{""metric_values"": {""bath_room"": 0.0, ""bed_room_1"": 0.0, ""bed_room_2"": 0.0, ""dining_room"": 1.0, ""hall"": 23.0, ""hall_2"": 9.5, ""kitchen"": 0.0, ""living_room"": 2.5, ""stair"": 0.0}, ""top_3_highest_choice"": [""hall"", ""hall_2"", ""living_room""]}","{""bath_room"": 0.0, ""bed_room_1"": 0.0, ""bed_room_2"": 0.0, ""dining_room"": 1.0, ""hall"": 23.0, ""hall_2"": 9.5, ""kitchen"": 0.0, ""living_room"": 2.5, ""stair"": 0.0}","[""hall"", ""hall_2"", ""living_room""]","{""bath_room"": 0.0, ""bed_room_1"": 0.0, ""bed_room_2"": 0.0, ""dining_room"": 1.0, ""hall"": 23.0, ""hall_2"": 9.5, ""kitchen"": 0.0, ""living_room"": 2.5, ""stair"": 0.0}","[""hall"", ""hall_2"", ""living_room""]",1.0,1.0,1
graph_2_T5_choice,5,T5_choice,graph_2,5,"{""metric_values"": {""bath_room"": 0.0, ""bed_room_1"": 0.0, ""bed_room_2"": 0.0, ""dining_room"": 1.0, ""hall"": 23.0, ""hall_2"": 9.5, ""kitchen"": 0.0, ""living_room"": 2.5, ""stair"": 0.0}, ""top_3_highest_choice"": [""hall"", ""hall_2"", ""living_room""]}","{""metric_values"": {""bath_room"": 0.0, ""bed_room_1"": 0.0, ""bed_room_2"": 0.0, ""dining_room"": 1.0, ""hall"": 23.0, ""hall_2"": 9.5, ""kitchen"": 0.0, ""living_room"": 2.5, ""stair"": 0.0}, ""top_3_highest_choice"": [""hall"", ""hall_2"", ""living_room""]}","{""bath_room"": 0.0, ""bed_room_1"": 0.0, ""bed_room_2"": 0.0, ""dining_room"": 1.0, ""hall"": 23.0, ""hall_2"": 9.5, ""kitchen"": 0.0, ""living_room"": 2.5, ""stair"": 0.0}","[""hall"", ""hall_2"", ""living_room""]","{""bath_room"": 0.0, ""bed_room_1"": 0.0, ""bed_room_2"": 0.0, ""dining_room"": 1.0, ""hall"": 23.0, ""hall_2"": 9.5, ""kitchen"": 0.0, ""living_room"": 2.5, ""stair"": 0.0}","[""hall"", ""hall_2"", ""living_room""]",1.0,1.0,1
graph_3_T4_mean_depth,4,T4_mean_depth,graph_3,1,"{""metric_values"": {""bath_room"": 2.2222, ""bed_room_1"": 1.8889, ""bed_room_2"": 2.2222, ""dining_room"": 2.1111, ""front_porch"": 2.5556, ""hall"": 1.3333, ""kitchen"": 1.7778, ""living_room"": 1.6667, ""service_porch"": 2.6667, ""stair"": 2.2222}, ""top_3_lowest_mean_depth"": [""hall"", ""living_room"", ""kitchen""]}","{""metric_values"": {""bath_room"": 2.2222, ""bed_room_1"": 1.8889, ""bed_room_2"": 2.2222, ""dining_room"": 2.1111, ""front_porch"": 2.5556, ""hall"": 1.3333, ""kitchen"": 1.7778, ""living_room"": 1.6667, ""service_porch"": 2.6667, ""stair"": 2.2222}, ""top_3_lowest_mean_depth"": [""hall"", ""living_room"", ""kitchen""]}","{""bath_room"": 2.2222, ""bed_room_1"": 1.8889, ""bed_room_2"": 2.2222, ""dining_room"": 2.1111, ""front_porch"": 2.5556, ""hall"": 1.3333, ""kitchen"": 1.7778, ""living_room"": 1.6667, ""service_porch"": 2.6667, ""stair"": 2.2222}","[""hall"", ""living_room"", ""kitchen""]","{""bath_room"": 2.2222, ""bed_room_1"": 1.8889, ""bed_room_2"": 2.2222, ""dining_room"": 2.1111, ""front_porch"": 2.5556, ""hall"": 1.3333, ""kitchen"": 1.7778, ""living_room"": 1.6667, ""service_porch"": 2.6667, ""stair"": 2.2222}","[""hall"", ""living_room"", ""kitchen""]",1.0,1.0,1
