task_id,task_type,graph_name,run_idx,question,expected_answer,raw_answer,parsed_answer,normalized_model_answer,correct,model,temperature
graph_3_L2,L2_degree_comparison,graph_3,2,Which space has more direct connections: living_room or dining_room?,"{""winner"": ""living_room"", ""degree_a"": 4, ""degree_b"": 2}","{""answer"": ""living_room""}","{""answer"": ""living_room""}","""living_room""",1,claude-sonnet-4-6,0.2
graph_3_L2,L2_degree_comparison,graph_3,3,Which space has more direct connections: living_room or dining_room?,"{""winner"": ""living_room"", ""degree_a"": 4, ""degree_b"": 2}","{""answer"": ""living_room""}","{""answer"": ""living_room""}","""living_room""",1,claude-sonnet-4-6,0.2
graph_3_L2,L2_degree_comparison,graph_3,4,Which space has more direct connections: living_room or dining_room?,"{""winner"": ""living_room"", ""degree_a"": 4, ""degree_b"": 2}","{""answer"": ""living_room""}","{""answer"": ""living_room""}","""living_room""",1,claude-sonnet-4-6,0.2
graph_3_L2,L2_degree_comparison,graph_3,5,Which space has more direct connections: living_room or dining_room?,"{""winner"": ""living_room"", ""degree_a"": 4, ""degree_b"": 2}","{""answer"": ""living_room""}","{""answer"": ""living_room""}","""living_room""",1,claude-sonnet-4-6,0.2
graph_3_L3,L3_two_step_reachability,graph_3,1,Which spaces can be reached from hall in two steps or fewer? Exclude hall itself.,"[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""front_porch"", ""kitchen"", ""living_room"", ""service_porch"", ""stair""]","{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""front_porch"", ""kitchen"", ""living_room"", ""service_porch"", ""stair""]}","{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""front_porch"", ""kitchen"", ""living_room"", ""service_porch"", ""stair""]}","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""front_porch"", ""kitchen"", ""living_room"", ""service_porch"", ""stair""]",1,claude-sonnet-4-6,0.2
graph_3_L3,L3_two_step_reachability,graph_3,2,Which spaces can be reached from hall in two steps or fewer? Exclude hall itself.,"[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""front_porch"", ""kitchen"", ""living_room"", ""service_porch"", ""stair""]","{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""front_porch"", ""kitchen"", ""living_room"", ""service_porch"", ""stair""]}","{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""front_porch"", ""kitchen"", ""living_room"", ""service_porch"", ""stair""]}","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""front_porch"", ""kitchen"", ""living_room"", ""service_porch"", ""stair""]",1,claude-sonnet-4-6,0.2
graph_3_L3,L3_two_step_reachability,graph_3,3,Which spaces can be reached from hall in two steps or fewer? Exclude hall itself.,"[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""front_porch"", ""kitchen"", ""living_room"", ""service_porch"", ""stair""]","{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""front_porch"", ""kitchen"", ""living_room"", ""service_porch"", ""stair""]}","{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""front_porch"", ""kitchen"", ""living_room"", ""service_porch"", ""stair""]}","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""front_porch"", ""kitchen"", ""living_room"", ""service_porch"", ""stair""]",1,claude-sonnet-4-6,0.2
graph_3_L3,L3_two_step_reachability,graph_3,4,Which spaces can be reached from hall in two steps or fewer? Exclude hall itself.,"[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""front_porch"", ""kitchen"", ""living_room"", ""service_porch"", ""stair""]","{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""front_porch"", ""kitchen"", ""living_room"", ""service_porch"", ""stair""]}","{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""front_porch"", ""kitchen"", ""living_room"", ""service_porch"", ""stair""]}","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""front_porch"", ""kitchen"", ""living_room"", ""service_porch"", ""stair""]",1,claude-sonnet-4-6,0.2
graph_3_L3,L3_two_step_reachability,graph_3,5,Which spaces can be reached from hall in two steps or fewer? Exclude hall itself.,"[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""front_porch"", ""kitchen"", ""living_room"", ""service_porch"", ""stair""]","{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""front_porch"", ""kitchen"", ""living_room"", ""service_porch"", ""stair""]}","{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""front_porch"", ""kitchen"", ""living_room"", ""service_porch"", ""stair""]}","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""front_porch"", ""kitchen"", ""living_room"", ""service_porch"", ""stair""]",1,claude-sonnet-4-6,0.2
graph_4_L1,L1_direct_adjacency,graph_4,1,Which spaces are directly connected to hall?,"[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""kitchen"", ""stair""]","{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""kitchen"", ""stair""]}","{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""kitchen"", ""stair""]}","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""kitchen"", ""stair""]",1,claude-sonnet-4-6,0.2
graph_4_L1,L1_direct_adjacency,graph_4,2,Which spaces are directly connected to hall?,"[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""kitchen"", ""stair""]","{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""kitchen"", ""stair""]}","{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""kitchen"", ""stair""]}","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""kitchen"", ""stair""]",1,claude-sonnet-4-6,0.2
graph_4_L1,L1_direct_adjacency,graph_4,3,Which spaces are directly connected to hall?,"[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""kitchen"", ""stair""]","{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""kitchen"", ""stair""]}","{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""kitchen"", ""stair""]}","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""kitchen"", ""stair""]",1,claude-sonnet-4-6,0.2
graph_4_L1,L1_direct_adjacency,graph_4,4,Which spaces are directly connected to hall?,"[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""kitchen"", ""stair""]","{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""kitchen"", ""stair""]}","{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""kitchen"", ""stair""]}","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""kitchen"", ""stair""]",1,claude-sonnet-4-6,0.2
graph_4_L1,L1_direct_adjacency,graph_4,5,Which spaces are directly connected to hall?,"[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""kitchen"", ""stair""]","{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""kitchen"", ""stair""]}","{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""kitchen"", ""stair""]}","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""kitchen"", ""stair""]",1,claude-sonnet-4-6,0.2
graph_4_L2,L2_degree_comparison,graph_4,1,Which space has more direct connections: living_room or dining_room?,"{""winner"": ""tie"", ""degree_a"": 3, ""degree_b"": 3}","{""answer"": ""tie""}","{""answer"": ""tie""}","""tie""",1,claude-sonnet-4-6,0.2
graph_4_L2,L2_degree_comparison,graph_4,2,Which space has more direct connections: living_room or dining_room?,"{""winner"": ""tie"", ""degree_a"": 3, ""degree_b"": 3}","{""answer"": ""tie""}","{""answer"": ""tie""}","""tie""",1,claude-sonnet-4-6,0.2
graph_4_L2,L2_degree_comparison,graph_4,3,Which space has more direct connections: living_room or dining_room?,"{""winner"": ""tie"", ""degree_a"": 3, ""degree_b"": 3}","{""answer"": ""tie""}","{""answer"": ""tie""}","""tie""",1,claude-sonnet-4-6,0.2
graph_4_L2,L2_degree_comparison,graph_4,4,Which space has more direct connections: living_room or dining_room?,"{""winner"": ""tie"", ""degree_a"": 3, ""degree_b"": 3}","{""answer"": ""tie""}","{""answer"": ""tie""}","""tie""",1,claude-sonnet-4-6,0.2
graph_4_L2,L2_degree_comparison,graph_4,5,Which space has more direct connections: living_room or dining_room?,"{""winner"": ""tie"", ""degree_a"": 3, ""degree_b"": 3}","{""answer"": ""tie""}","{""answer"": ""tie""}","""tie""",1,claude-sonnet-4-6,0.2
graph_4_L3,L3_two_step_reachability,graph_4,1,Which spaces can be reached from hall in two steps or fewer? Exclude hall itself.,"[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""kitchen"", ""living_room"", ""service_entry"", ""sleeping_porch"", ""stair"", ""sun_room""]","{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""kitchen"", ""living_room"", ""service_entry"", ""sleeping_porch"", ""stair"", ""sun_room""]}","{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""kitchen"", ""living_room"", ""service_entry"", ""sleeping_porch"", ""stair"", ""sun_room""]}","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""kitchen"", ""living_room"", ""service_entry"", ""sleeping_porch"", ""stair"", ""sun_room""]",1,claude-sonnet-4-6,0.2
