task_id,task_type,graph_name,run_idx,raw_answer,parsed_answer,expected_top_3,predicted_top_3,ranking_accuracy,overall_correct
graph_4_T6,Task_6_counterfactual_mean_depth,graph_4,1,"{""changed_top_3_lowest_mean_depth"": [""hall"", ""dining_room"", ""kitchen""]}","[""hall"", ""dining_room"", ""kitchen""]","[""hall"", ""dining_room"", ""kitchen""]","[""hall"", ""dining_room"", ""kitchen""]",1.0,1
graph_4_T6,Task_6_counterfactual_mean_depth,graph_4,2,"{""changed_top_3_lowest_mean_depth"": [""hall"", ""dining_room"", ""kitchen""]}","[""hall"", ""dining_room"", ""kitchen""]","[""hall"", ""dining_room"", ""kitchen""]","[""hall"", ""dining_room"", ""kitchen""]",1.0,1
graph_4_T6,Task_6_counterfactual_mean_depth,graph_4,3,"{""changed_top_3_lowest_mean_depth"": [""hall"", ""dining_room"", ""kitchen""]}","[""hall"", ""dining_room"", ""kitchen""]","[""hall"", ""dining_room"", ""kitchen""]","[""hall"", ""dining_room"", ""kitchen""]",1.0,1
graph_4_T6,Task_6_counterfactual_mean_depth,graph_4,4,"{""changed_top_3_lowest_mean_depth"": [""hall"", ""dining_room"", ""kitchen""]}","[""hall"", ""dining_room"", ""kitchen""]","[""hall"", ""dining_room"", ""kitchen""]","[""hall"", ""dining_room"", ""kitchen""]",1.0,1
graph_4_T6,Task_6_counterfactual_mean_depth,graph_4,5,"{""changed_top_3_lowest_mean_depth"": [""hall"", ""dining_room"", ""kitchen""]}","[""hall"", ""dining_room"", ""kitchen""]","[""hall"", ""dining_room"", ""kitchen""]","[""hall"", ""dining_room"", ""kitchen""]",1.0,1
graph_4_T7,Task_7_counterfactual_choice,graph_4,1,"{""changed_top_3_highest_choice"": [""hall"", ""kitchen"", ""dining_room""]}","[""hall"", ""kitchen"", ""dining_room""]","[""hall"", ""kitchen"", ""dining_room""]","[""hall"", ""kitchen"", ""dining_room""]",1.0,1
graph_4_T7,Task_7_counterfactual_choice,graph_4,2,"{""changed_top_3_highest_choice"": [""hall"", ""kitchen"", ""dining_room""]}","[""hall"", ""kitchen"", ""dining_room""]","[""hall"", ""kitchen"", ""dining_room""]","[""hall"", ""kitchen"", ""dining_room""]",1.0,1
graph_4_T7,Task_7_counterfactual_choice,graph_4,3,"{""changed_top_3_highest_choice"": [""hall"", ""kitchen"", ""dining_room""]}","[""hall"", ""kitchen"", ""dining_room""]","[""hall"", ""kitchen"", ""dining_room""]","[""hall"", ""kitchen"", ""dining_room""]",1.0,1
graph_4_T7,Task_7_counterfactual_choice,graph_4,4,"{""changed_top_3_highest_choice"": [""hall"", ""kitchen"", ""dining_room""]}","[""hall"", ""kitchen"", ""dining_room""]","[""hall"", ""kitchen"", ""dining_room""]","[""hall"", ""kitchen"", ""dining_room""]",1.0,1
graph_4_T7,Task_7_counterfactual_choice,graph_4,5,"{""changed_top_3_highest_choice"": [""hall"", ""kitchen"", ""dining_room""]}","[""hall"", ""kitchen"", ""dining_room""]","[""hall"", ""kitchen"", ""dining_room""]","[""hall"", ""kitchen"", ""dining_room""]",1.0,1
graph_5_T6,Task_6_counterfactual_mean_depth,graph_5,1,"{""changed_top_3_lowest_mean_depth"": [""stair"", ""living_room_1"", ""living_room_2""]}","[""stair"", ""living_room_1"", ""living_room_2""]","[""stair"", ""living_room_1"", ""living_room_2""]","[""stair"", ""living_room_1"", ""living_room_2""]",1.0,1
graph_5_T6,Task_6_counterfactual_mean_depth,graph_5,2,"{""changed_top_3_lowest_mean_depth"": [""stair"", ""living_room_1"", ""living_room_2""]}","[""stair"", ""living_room_1"", ""living_room_2""]","[""stair"", ""living_room_1"", ""living_room_2""]","[""stair"", ""living_room_1"", ""living_room_2""]",1.0,1
graph_5_T6,Task_6_counterfactual_mean_depth,graph_5,3,"{""changed_top_3_lowest_mean_depth"": [""stair"", ""living_room_1"", ""living_room_2""]}","[""stair"", ""living_room_1"", ""living_room_2""]","[""stair"", ""living_room_1"", ""living_room_2""]","[""stair"", ""living_room_1"", ""living_room_2""]",1.0,1
graph_5_T6,Task_6_counterfactual_mean_depth,graph_5,4,"{""changed_top_3_lowest_mean_depth"": [""stair"", ""living_room_1"", ""living_room_2""]}","[""stair"", ""living_room_1"", ""living_room_2""]","[""stair"", ""living_room_1"", ""living_room_2""]","[""stair"", ""living_room_1"", ""living_room_2""]",1.0,1
graph_5_T6,Task_6_counterfactual_mean_depth,graph_5,5,"{""changed_top_3_lowest_mean_depth"": [""stair"", ""living_room_1"", ""living_room_2""]}","[""stair"", ""living_room_1"", ""living_room_2""]","[""stair"", ""living_room_1"", ""living_room_2""]","[""stair"", ""living_room_1"", ""living_room_2""]",1.0,1
graph_5_T7,Task_7_counterfactual_choice,graph_5,1,"{""changed_top_3_highest_choice"": [""living_room_1"", ""hall_1"", ""living_room_2""]}","[""living_room_1"", ""hall_1"", ""living_room_2""]","[""living_room_1"", ""hall_1"", ""living_room_2""]","[""living_room_1"", ""hall_1"", ""living_room_2""]",1.0,1
graph_5_T7,Task_7_counterfactual_choice,graph_5,2,"{""changed_top_3_highest_choice"": [""living_room_1"", ""hall_1"", ""living_room_2""]}","[""living_room_1"", ""hall_1"", ""living_room_2""]","[""living_room_1"", ""hall_1"", ""living_room_2""]","[""living_room_1"", ""hall_1"", ""living_room_2""]",1.0,1
graph_5_T7,Task_7_counterfactual_choice,graph_5,3,"{""changed_top_3_highest_choice"": [""living_room_1"", ""hall_1"", ""living_room_2""]}","[""living_room_1"", ""hall_1"", ""living_room_2""]","[""living_room_1"", ""hall_1"", ""living_room_2""]","[""living_room_1"", ""hall_1"", ""living_room_2""]",1.0,1
graph_5_T7,Task_7_counterfactual_choice,graph_5,4,"{""changed_top_3_highest_choice"": [""living_room_1"", ""hall_1"", ""living_room_2""]}","[""living_room_1"", ""hall_1"", ""living_room_2""]","[""living_room_1"", ""hall_1"", ""living_room_2""]","[""living_room_1"", ""hall_1"", ""living_room_2""]",1.0,1
graph_5_T7,Task_7_counterfactual_choice,graph_5,5,"{""changed_top_3_highest_choice"": [""living_room_1"", ""hall_1"", ""living_room_2""]}","[""living_room_1"", ""hall_1"", ""living_room_2""]","[""living_room_1"", ""hall_1"", ""living_room_2""]","[""living_room_1"", ""hall_1"", ""living_room_2""]",1.0,1
